fileName,A,B,AtoB (bit/s),BtoA (bit/s)
EP003-1509308689493,192.168.0.123:47395,192.168.0.110:3000,1644.473421,800.6635786
EP003-1509308689493,192.168.0.123:47396,192.168.0.110:3000,1642.835952,799.8663252
EP003-1509308689493,192.168.0.123:47398,192.168.0.110:3000,1639.04643,798.0212774
EP003-1509308689493,192.168.0.123:47399,192.168.0.110:3000,1634.20273,795.1348163
EP003-1509308689493,192.168.0.123:47400,192.168.0.110:3000,1642.952325,799.392004
EP003-1509308689493,192.168.0.123:47403,192.168.0.110:3000,1642.073711,798.9645071
EP003-1509308689493,192.168.0.123:47404,192.168.0.110:3000,1638.446114,797.1994698
EP003-1509308689493,192.168.0.123:47406,192.168.0.110:3000,1644.83837,800.8412657
EP003-1509308689493,192.168.0.123:47407,192.168.0.110:3000,1634.962032,795.5042614
EP003-1509308689493,192.168.0.123:47408,192.168.0.110:3000,1642.303067,799.0761023
EP003-1509308689493,192.168.0.123:47409,192.168.0.110:3000,1630.828621,794.2839728
EP003-1509308689493,192.168.0.123:47416,192.168.0.110:3000,1639.107772,798.0511439
EP004-1509310506823,192.168.0.110:46600,192.168.0.110:1883,494.9223512,386.9225882
EP004-1509310506823,127.0.0.1:36382,127.0.0.1:1883,82.74275766,443.1863193
EP004-1509310506823,192.168.0.123:47492,192.168.0.110:3000,1859.867355,1184.265262
EP004-1509310506823,192.168.0.123:47455,192.168.0.110:3000,1605.650696,781.5019657
EP004-1509310506823,192.168.0.123:47456,192.168.0.110:3000,1649.670867,802.9274538
EP004-1509310506823,192.168.0.123:47462,192.168.0.110:3000,1647.296165,802.0379204
EP004-1509310506823,192.168.0.123:47463,192.168.0.110:3000,1653.874551,805.5083363
EP004-1509310506823,192.168.0.123:47464,192.168.0.110:3000,1644.074969,800.4695797
EP004-1509310506823,192.168.0.123:47465,192.168.0.110:3000,1649.73855,802.6938977
EP004-1509310506823,192.168.0.123:47468,192.168.0.110:3000,1645.397236,800.5815958
EP004-1509310506823,192.168.0.123:47469,192.168.0.110:3000,1649.089559,802.3781262
EP004-1509310506823,192.168.0.123:47473,192.168.0.110:3000,1639.21494,797.5735484
EP004-1509310506823,192.168.0.123:47475,192.168.0.110:3000,1651.559822,804.1138156
EP004-1509310506823,192.168.0.123:47477,192.168.0.110:3000,1646.133253,800.939711
EP004-1509310506823,192.168.0.123:47480,192.168.0.110:3000,1653.657365,805.1350702
EP004-1509310506823,192.168.0.123:47481,192.168.0.110:3000,1652.736161,804.1524105
EP004-1509310506823,192.168.0.123:47483,192.168.0.110:3000,1642.062524,798.9590642
EP004-1509310506823,192.168.0.123:47484,192.168.0.110:3000,1637.720327,797.3756225
EP004-1509310506823,192.168.0.123:47485,192.168.0.110:3000,1633.377719,794.7334004
EP004-1509310506823,192.168.0.123:47487,192.168.0.110:3000,1647.337019,801.5254133
EP004-1509310506823,192.168.0.123:47489,192.168.0.110:3000,1649.394149,803.3261869
EP004-1509310506823,192.168.0.123:47494,192.168.0.110:3000,1653.707046,804.8919422
EP004-1509310506823,192.168.0.123:47496,192.168.0.110:3000,1642.421494,799.6645336
EP004-1509310506823,192.168.0.123:47498,192.168.0.110:3000,1637.186036,797.1154859
EP004-1509310506823,192.168.0.123:47501,192.168.0.110:3000,1635.439036,795.7363513
EP005-1509312324174,192.168.0.110:46888,192.168.0.110:1883,624.9653622,500.3866905
EP005-1509312324174,127.0.0.1:36382,127.0.0.1:1883,102.7276847,578.9043251
EP005-1509312324174,192.168.0.123:47572,192.168.0.110:3000,1502.228731,730.6957227
EP005-1509312324174,192.168.0.123:47582,192.168.0.110:3000,1533.760204,711.8373014
EP005-1509312324174,192.168.0.123:47511,192.168.0.110:3000,1501.747777,731.4160272
EP005-1509312324174,192.168.0.123:47513,192.168.0.110:3000,1502.95906,731.7628634
EP005-1509312324174,192.168.0.123:47515,192.168.0.110:3000,1503.369104,731.7194909
EP005-1509312324174,192.168.0.123:47516,192.168.0.110:3000,1500.652146,730.1546785
EP005-1509312324174,192.168.0.123:47519,192.168.0.110:3000,1488.160674,724.317247
EP005-1509312324174,192.168.0.123:47520,192.168.0.110:3000,1493.342594,727.32234
EP005-1509312324174,192.168.0.123:47521,192.168.0.110:3000,1475.906199,718.8300624
EP005-1509312324174,192.168.0.123:47523,192.168.0.110:3000,1498.14317,728.9339155
EP005-1509312324174,192.168.0.123:47524,192.168.0.110:3000,1499.674701,730.1637701
EP005-1509312324174,192.168.0.123:47527,192.168.0.110:3000,1476.123337,718.9358181
EP005-1509312324174,192.168.0.123:47528,192.168.0.110:3000,1489.414325,725.1681836
EP005-1509312324174,192.168.0.123:47530,192.168.0.110:3000,1487.388392,724.4223862
EP005-1509312324174,192.168.0.123:47531,192.168.0.110:3000,1499.693375,730.172862
EP005-1509312324174,192.168.0.123:47532,192.168.0.110:3000,1488.723708,724.3507987
EP005-1509312324174,192.168.0.123:47534,192.168.0.110:3000,1492.42727,726.6351304
EP005-1509312324174,192.168.0.123:47535,192.168.0.110:3000,1497.353461,729.0336016
EP005-1509312324174,192.168.0.123:47536,192.168.0.110:3000,1498.700773,729.9320045
EP005-1509312324174,192.168.0.123:47540,192.168.0.110:3000,1494.093939,727.2050845
EP005-1509312324174,192.168.0.123:47542,192.168.0.110:3000,1493.055556,727.1825397
EP005-1509312324174,192.168.0.123:47543,192.168.0.110:3000,1498.550472,729.6164039
EP005-1509312324174,192.168.0.123:47546,192.168.0.110:3000,1479.920499,720.5458159
EP006-1509314143314,192.168.0.110:47228,192.168.0.110:1883,630.5928317,502.2131152
EP006-1509314143314,127.0.0.1:36382,127.0.0.1:1883,102.9715416,583.3013418
EP006-1509314143314,192.168.0.123:47584,192.168.0.110:3000,1522.765034,740.9138864
EP006-1509314143314,192.168.0.123:47585,192.168.0.110:3000,1526.468995,742.962665
EP006-1509314143314,192.168.0.123:47587,192.168.0.110:3000,1500.146353,730.3934085
EP006-1509314143314,192.168.0.123:47588,192.168.0.110:3000,1514.35736,737.0676923
EP006-1509314143314,192.168.0.123:47589,192.168.0.110:3000,1514.065597,736.6811034
EP006-1509314143314,192.168.0.123:47591,192.168.0.110:3000,1518.505686,738.8414653
EP006-1509314143314,192.168.0.123:47593,192.168.0.110:3000,1502.626042,731.1150939
EP006-1509314143314,192.168.0.123:47595,192.168.0.110:3000,1518.861232,739.505336
EP006-1509314143314,192.168.0.123:47596,192.168.0.110:3000,1518.928275,739.5379779
EP006-1509314143314,192.168.0.123:47597,192.168.0.110:3000,1497.128909,728.4404183
EP006-1509314143314,192.168.0.123:47599,192.168.0.110:3000,1498.646157,729.1786481
EP006-1509314143314,192.168.0.123:47600,192.168.0.110:3000,1517.664318,738.4320911
EP006-1509314143314,192.168.0.123:47603,192.168.0.110:3000,1519.413573,739.5286514
EP006-1509314143314,192.168.0.123:47604,192.168.0.110:3000,1509.495446,734.9453084
EP006-1509314143314,192.168.0.123:47605,192.168.0.110:3000,1516.072064,738.3925733
EP006-1509314143314,192.168.0.123:47608,192.168.0.110:3000,1506.758974,733.126006
EP006-1509314143314,192.168.0.123:47609,192.168.0.110:3000,1509.320543,734.3723583
EP006-1509314143314,192.168.0.123:47611,192.168.0.110:3000,1497.236488,728.7346251
EP006-1509314143314,192.168.0.123:47612,192.168.0.110:3000,1496.241395,728.0085911
EP006-1509314143314,192.168.0.123:47613,192.168.0.110:3000,1509.121478,735.7406339
EP006-1509314143314,192.168.0.123:47615,192.168.0.110:3000,1512.393609,735.867584
EP006-1509314143314,192.168.0.123:47617,192.168.0.110:3000,1512.564438,735.9507023
EP006-1509314143314,192.168.0.123:47621,192.168.0.110:3000,1505.615451,732.5696154
EP007-1509315961515,192.168.0.110:47574,192.168.0.110:1883,611.3028773,494.7371433
EP007-1509315961515,127.0.0.1:36382,127.0.0.1:1883,101.5244015,575.3078878
EP007-1509315961515,192.168.0.123:47717,192.168.0.110:3000,1473.187698,698.4777378
EP007-1509315961515,192.168.0.123:47660,192.168.0.110:3000,1490.998277,725.457509
EP007-1509315961515,192.168.0.123:47661,192.168.0.110:3000,1477.75968,719.4937532
EP007-1509315961515,192.168.0.123:47663,192.168.0.110:3000,1488.289302,724.8611682
EP007-1509315961515,192.168.0.123:47665,192.168.0.110:3000,1490.727819,725.8076993
EP007-1509315961515,192.168.0.123:47667,192.168.0.110:3000,1493.820193,727.313319
EP007-1509315961515,192.168.0.123:47671,192.168.0.110:3000,1482.033118,721.8141366
EP007-1509315961515,192.168.0.123:47672,192.168.0.110:3000,1486.308047,723.6557946
EP007-1509315961515,192.168.0.123:47673,192.168.0.110:3000,1492.3533,726.5991159
EP007-1509315961515,192.168.0.123:47676,192.168.0.110:3000,1479.334987,720.0216105
EP007-1509315961515,192.168.0.123:47677,192.168.0.110:3000,1489.063991,724.5163662
EP007-1509315961515,192.168.0.123:47679,192.168.0.110:3000,1493.158115,726.9909653
EP007-1509315961515,192.168.0.123:47681,192.168.0.110:3000,1498.577359,729.3872538
EP007-1509315961515,192.168.0.123:47683,192.168.0.110:3000,1479.452391,720.3179029
EP007-1509315961515,192.168.0.123:47684,192.168.0.110:3000,1490.070218,725.2466599
EP007-1509315961515,192.168.0.123:47687,192.168.0.110:3000,1479.512763,719.869137
EP007-1509315961515,192.168.0.123:47688,192.168.0.110:3000,1485.153398,723.0936174
EP007-1509315961515,192.168.0.123:47689,192.168.0.110:3000,1492.891362,726.378605
EP007-1509315961515,192.168.0.123:47691,192.168.0.110:3000,1497.441891,729.0766562
EP007-1509315961515,192.168.0.123:47695,192.168.0.110:3000,1486.115481,723.5620377
EP007-1509315961515,192.168.0.123:47696,192.168.0.110:3000,1486.445625,723.7227786
EP007-1509315961515,192.168.0.123:47697,192.168.0.110:3000,1487.184395,724.0824718
EP007-1509315961515,192.168.0.123:47699,192.168.0.110:3000,1498.725362,729.2171858
EP008-1509317780039,192.168.0.110:47914,192.168.0.110:1883,688.4451966,548.2797902
EP008-1509317780039,127.0.0.1:36382,127.0.0.1:1883,110.64172,635.2866556
EP008-1509317780039,192.168.0.123:47787,192.168.0.110:3000,1059.317353,896.9402408
EP008-1509317780039,192.168.0.123:47734,192.168.0.110:3000,871.8520485,849.4823467
EP008-1509317780039,192.168.0.123:47768,192.168.0.110:3000,1063.292367,862.6084064
